ID	Name	miRNA_ID	SPOT_ID
17748	cel-let-7	cel-let-7	
50442	cel-lin-4	cel-lin-4	
49277	cel-lsy-6	cel-lsy-6	
10916	cel-miR-1	cel-miR-1	
49213	cel-miR-1018	cel-miR-1018	
50331	cel-miR-1019	cel-miR-1019	
50301	cel-miR-1019*	cel-miR-1019*	
50300	cel-miR-1020	cel-miR-1020	
49352	cel-miR-1021	cel-miR-1021	
49409	cel-miR-1022	cel-miR-1022	
14328	cel-miR-124	cel-miR-124	
50306	cel-miR-1817	cel-miR-1817	
49430	cel-miR-1818	cel-miR-1818	
50119	cel-miR-1819	cel-miR-1819	
49509	cel-miR-1820	cel-miR-1820	
49520	cel-miR-1821	cel-miR-1821	
49902	cel-miR-1822	cel-miR-1822	
49552	cel-miR-1823	cel-miR-1823	
49148	cel-miR-1824	cel-miR-1824	
50225	cel-miR-1828	cel-miR-1828	
50278	cel-miR-1829a	cel-miR-1829a	
49474	cel-miR-1829b	cel-miR-1829b	
49492	cel-miR-1829c	cel-miR-1829c	
49846	cel-miR-1830	cel-miR-1830	
48957	cel-miR-1831	cel-miR-1831	
49184	cel-miR-1832	cel-miR-1832	
49504	cel-miR-1833	cel-miR-1833	
50335	cel-miR-1834	cel-miR-1834	
49594	cel-miR-2	cel-miR-2	
49733	cel-miR-227	cel-miR-227	
50093	cel-miR-228	cel-miR-228	
49905	cel-miR-229	cel-miR-229	
49702	cel-miR-230	cel-miR-230	
50380	cel-miR-231	cel-miR-231	
49604	cel-miR-232	cel-miR-232	
49821	cel-miR-233	cel-miR-233	
48970	cel-miR-234	cel-miR-234	
50007	cel-miR-235	cel-miR-235	
50073	cel-miR-236	cel-miR-236	
49094	cel-miR-237	cel-miR-237	
49206	cel-miR-238	cel-miR-238	
49619	cel-miR-239a	cel-miR-239a	
49621	cel-miR-239b	cel-miR-239b	
49047	cel-miR-240	cel-miR-240	
49741	cel-miR-241	cel-miR-241	
49805	cel-miR-242	cel-miR-242	
49029	cel-miR-243	cel-miR-243	
49377	cel-miR-244	cel-miR-244	
49464	cel-miR-245	cel-miR-245	
49859	cel-miR-246	cel-miR-246	
49046	cel-miR-247	cel-miR-247	
49976	cel-miR-248	cel-miR-248	
50057	cel-miR-249	cel-miR-249	
50070	cel-miR-250	cel-miR-250	
49156	cel-miR-251	cel-miR-251	
48951	cel-miR-252	cel-miR-252	
50248	cel-miR-253	cel-miR-253	
49145	cel-miR-253*	cel-miR-253*	
49443	cel-miR-254	cel-miR-254	
49703	cel-miR-255	cel-miR-255	
49481	cel-miR-256	cel-miR-256	
49592	cel-miR-257	cel-miR-257	
49427	cel-miR-258	cel-miR-258	
49093	cel-miR-259	cel-miR-259	
49174	cel-miR-260	cel-miR-260	
50192	cel-miR-261	cel-miR-261	
49180	cel-miR-262	cel-miR-262	
49370	cel-miR-264	cel-miR-264	
50263	cel-miR-265	cel-miR-265	
49268	cel-miR-266	cel-miR-266	
50061	cel-miR-267	cel-miR-267	
50126	cel-miR-268	cel-miR-268	
50371	cel-miR-269	cel-miR-269	
50385	cel-miR-270	cel-miR-270	
49032	cel-miR-271	cel-miR-271	
49281	cel-miR-272	cel-miR-272	
48992	cel-miR-273	cel-miR-273	
49291	cel-miR-34	cel-miR-34	
49250	cel-miR-35	cel-miR-35	
49553	cel-miR-353	cel-miR-353	
49050	cel-miR-354	cel-miR-354	
49556	cel-miR-355	cel-miR-355	
49055	cel-miR-356	cel-miR-356	
50227	cel-miR-357	cel-miR-357	
48953	cel-miR-358	cel-miR-358	
49941	cel-miR-359	cel-miR-359	
49411	cel-miR-36	cel-miR-36	
50412	cel-miR-360	cel-miR-360	
50226	cel-miR-37	cel-miR-37	
50247	cel-miR-38	cel-miR-38	
48900	cel-miR-39	cel-miR-39	
49193	cel-miR-392	cel-miR-392	
50288	cel-miR-40	cel-miR-40	
49356	cel-miR-41	cel-miR-41	
49721	cel-miR-42	cel-miR-42	
50186	cel-miR-43	cel-miR-43	
49988	cel-miR-44/cel-miR-45	cel-miR-44/cel-miR-45	
49334	cel-miR-46	cel-miR-46	
48911	cel-miR-47	cel-miR-47	
50055	cel-miR-48	cel-miR-48	
49990	cel-miR-49	cel-miR-49	
49766	cel-miR-50	cel-miR-50	
49507	cel-miR-51	cel-miR-51	
48920	cel-miR-52	cel-miR-52	
50066	cel-miR-53	cel-miR-53	
49670	cel-miR-54	cel-miR-54	
49635	cel-miR-55	cel-miR-55	
49736	cel-miR-56	cel-miR-56	
49475	cel-miR-56*	cel-miR-56*	
50155	cel-miR-57	cel-miR-57	
50367	cel-miR-58	cel-miR-58	
49389	cel-miR-59	cel-miR-59	
49870	cel-miR-60	cel-miR-60	
49208	cel-miR-61	cel-miR-61	
49704	cel-miR-62	cel-miR-62	
50130	cel-miR-63	cel-miR-63	
50463	cel-miR-64	cel-miR-64	
49676	cel-miR-65	cel-miR-65	
49444	cel-miR-66	cel-miR-66	
50261	cel-miR-67	cel-miR-67	
49210	cel-miR-70	cel-miR-70	
50164	cel-miR-71	cel-miR-71	
49344	cel-miR-72	cel-miR-72	
49707	cel-miR-73	cel-miR-73	
50276	cel-miR-74	cel-miR-74	
49868	cel-miR-75	cel-miR-75	
49355	cel-miR-76	cel-miR-76	
49442	cel-miR-77	cel-miR-77	
49593	cel-miR-78	cel-miR-78	
50274	cel-miR-784	cel-miR-784	
49683	cel-miR-785	cel-miR-785	
49869	cel-miR-786	cel-miR-786	
49864	cel-miR-787	cel-miR-787	
49316	cel-miR-788	cel-miR-788	
49022	cel-miR-789	cel-miR-789	
50085	cel-miR-79	cel-miR-79	
50420	cel-miR-790	cel-miR-790	
49802	cel-miR-791	cel-miR-791	
49698	cel-miR-792	cel-miR-792	
49725	cel-miR-793	cel-miR-793	
49957	cel-miR-794	cel-miR-794	
50083	cel-miR-795	cel-miR-795	
49531	cel-miR-796	cel-miR-796	
50379	cel-miR-797	cel-miR-797	
49622	cel-miR-798	cel-miR-798	
50139	cel-miR-799	cel-miR-799	
49675	cel-miR-80	cel-miR-80	
49920	cel-miR-800	cel-miR-800	
50293	cel-miR-81	cel-miR-81	
50229	cel-miR-82	cel-miR-82	
49540	cel-miR-83	cel-miR-83	
49477	cel-miR-84	cel-miR-84	
50160	cel-miR-85	cel-miR-85	
49215	cel-miR-86	cel-miR-86	
49497	cel-miR-87	cel-miR-87	
49927	cel-miR-90	cel-miR-90	
13138	Hy3		Hy3
14261	spike_control_a		spike_control_a
14263	spike_control_b		spike_control_b
14264	spike_control_c		spike_control_c
10904	spike_control_d		spike_control_d
10906	spike_control_e		spike_control_e
14262	spike_control_f		spike_control_f
10905	spike_control_g		spike_control_g
10907	spike_control_h		spike_control_h
14257	spike_control_i		spike_control_i
10899	spike_control_j		spike_control_j
17942			EMPTY
42839			EMPTY
46483			EMPTY
11062			EMPTY
10138			EMPTY
32809			EMPTY
11128			EMPTY
28876			EMPTY
46654			EMPTY
42711			EMPTY
17411			EMPTY
46684			EMPTY
11240			EMPTY
28164			EMPTY
42923			EMPTY
5250			EMPTY
42887			EMPTY
11234			EMPTY
42959			EMPTY
13179			EMPTY
42987			EMPTY
42732			EMPTY
19581			EMPTY
11105			EMPTY
11224			EMPTY
42577			EMPTY
42630			EMPTY
17565			EMPTY
42528			EMPTY
46227			EMPTY
11097			EMPTY
46855			EMPTY
46309			EMPTY
17506			EMPTY
19601			EMPTY
50348			EMPTY
49809			EMPTY
49974			EMPTY
47179			EMPTY
49082			EMPTY
48660			EMPTY
48156			EMPTY
49054			EMPTY
50383			EMPTY
49996			EMPTY
50297			EMPTY
11069			EMPTY
49391			EMPTY
49177			EMPTY
47743			EMPTY
49605			EMPTY
49164			EMPTY
47402			EMPTY
50171			EMPTY
50133			EMPTY
49124			EMPTY
49678			EMPTY
47600			EMPTY
49209			EMPTY
42731			EMPTY
49500			EMPTY
48981			EMPTY
48167			EMPTY
49876			EMPTY
50376			EMPTY
48933			EMPTY
49559			EMPTY
50138			EMPTY
50099			EMPTY
49087			EMPTY
50008			EMPTY
50087			EMPTY
-1			EMPTY
48939			EMPTY
49289			EMPTY
49451			EMPTY
49987			EMPTY
49595			EMPTY
50195			EMPTY
50198			EMPTY
25557			EMPTY
49092			EMPTY
50026			EMPTY
49425			EMPTY
24136			EMPTY
49166			EMPTY
49591			EMPTY
47498			EMPTY
47279			EMPTY
49667			EMPTY
49894			EMPTY
48547			EMPTY
50407			EMPTY
50438			EMPTY
49962			EMPTY
50068			EMPTY
49947			EMPTY
47442			EMPTY
49629			EMPTY
27348			EMPTY
49614			EMPTY
49727			EMPTY
49546			EMPTY
47528			EMPTY
49834			EMPTY
49228			EMPTY
50043			EMPTY
49793			EMPTY
49781			EMPTY
48019			EMPTY
47100			EMPTY
49685			EMPTY
49336			EMPTY
50042			EMPTY
48796			EMPTY
49773			EMPTY
50328			EMPTY
47589			EMPTY
50132			EMPTY
47412			EMPTY
48966			EMPTY
49440			EMPTY
50154			EMPTY
50265			EMPTY
49523			EMPTY
50447			EMPTY
49136			EMPTY
49386			EMPTY
50427			EMPTY
49375			EMPTY
48754			EMPTY
47288			EMPTY
47110			EMPTY
48322			EMPTY
49892			EMPTY
48940			EMPTY
49154			EMPTY
50045			EMPTY
48028			EMPTY
48986			EMPTY
49331			EMPTY
50437			EMPTY
50027			EMPTY
49115			EMPTY
49307			EMPTY
48420			EMPTY
48305			EMPTY
50368			EMPTY
47135			EMPTY
50123			EMPTY
25611			EMPTY
49795			EMPTY
49143			EMPTY
49885			EMPTY
49284			EMPTY
48634			EMPTY
50091			EMPTY
48448			EMPTY
49302			EMPTY
50146			EMPTY
49290			EMPTY
49596			EMPTY
50374			EMPTY
48566			EMPTY
27305			EMPTY
50414			EMPTY
49458			EMPTY
49393			EMPTY
49883			EMPTY
50273			EMPTY
49700			EMPTY
49384			EMPTY
49040			EMPTY
49679			EMPTY
47178			EMPTY
4700			EMPTY
11038			EMPTY
30442			EMPTY
13147			EMPTY
42761			EMPTY
10988			EMPTY
11165			EMPTY
42719			EMPTY
42957			EMPTY
42525			EMPTY
42910			EMPTY
27536			EMPTY
10944			EMPTY
28759			EMPTY
42764			EMPTY
42704			EMPTY
42912			EMPTY
42988			EMPTY
42917			EMPTY
19582			EMPTY
42549			EMPTY
27263			EMPTY
10990			EMPTY
17849			EMPTY
11018			EMPTY
46721			EMPTY
42875			EMPTY
42811			EMPTY
17927			EMPTY
17593			EMPTY
46259			EMPTY
42744			EMPTY
42766			EMPTY
42507			EMPTY
11088			EMPTY
50444			EMPTY
50108			EMPTY
47255			EMPTY
50356			EMPTY
50148			EMPTY
49204			EMPTY
49653			EMPTY
50389			EMPTY
49008			EMPTY
49300			EMPTY
49797			EMPTY
47525			EMPTY
49478			EMPTY
49565			EMPTY
50431			EMPTY
49224			EMPTY
49911			EMPTY
49100			EMPTY
49624			EMPTY
48165			EMPTY
48967			EMPTY
49494			EMPTY
50100			EMPTY
50360			EMPTY
49297			EMPTY
49687			EMPTY
49554			EMPTY
49545			EMPTY
49514			EMPTY
30293			EMPTY
50425			EMPTY
50450			EMPTY
49579			EMPTY
49829			EMPTY
49173			EMPTY
49401			EMPTY
49787			EMPTY
28568			EMPTY
49473			EMPTY
47214			EMPTY
47116			EMPTY
49599			EMPTY
48862			EMPTY
50239			EMPTY
49226			EMPTY
49101			EMPTY
49495			EMPTY
27777			EMPTY
50391			EMPTY
49369			EMPTY
49600			EMPTY
49337			EMPTY
49341			EMPTY
49362			EMPTY
47824			EMPTY
48399			EMPTY
49616			EMPTY
50206			EMPTY
49581			EMPTY
49346			EMPTY
50004			EMPTY
42759			EMPTY
47000			EMPTY
49588			EMPTY
47413			EMPTY
47222			EMPTY
49482			EMPTY
47767			EMPTY
48584			EMPTY
49818			EMPTY
49991			EMPTY
49197			EMPTY
50128			EMPTY
48365			EMPTY
48815			EMPTY
48814			EMPTY
48132			EMPTY
49886			EMPTY
50470			EMPTY
47218			EMPTY
49405			EMPTY
49567			EMPTY
49510			EMPTY
42564			EMPTY
49472			EMPTY
50266			EMPTY
49028			EMPTY
49052			EMPTY
49985			EMPTY
50173			EMPTY
50044			EMPTY
49645			EMPTY
48932			EMPTY
49200			EMPTY
50200			EMPTY
49762			EMPTY
48973			EMPTY
47447			EMPTY
28616			EMPTY
49002			EMPTY
49487			EMPTY
50065			EMPTY
49993			EMPTY
49970			EMPTY
49893			EMPTY
50390			EMPTY
50249			EMPTY
49891			EMPTY
50016			EMPTY
49216			EMPTY
49465			EMPTY
49701			EMPTY
49064			EMPTY
50443			EMPTY
49618			EMPTY
49789			EMPTY
50292			EMPTY
50351			EMPTY
49577			EMPTY
48147			EMPTY
49243			EMPTY
49076			EMPTY
50135			EMPTY
48349			EMPTY
7190			EMPTY
48968			EMPTY
49980			EMPTY
50193			EMPTY
50299			EMPTY
49994			EMPTY
49528			EMPTY
49657			EMPTY
49888			EMPTY
49566			EMPTY
48670			EMPTY
48053			EMPTY
48948			EMPTY
50403			EMPTY
49324			EMPTY
50250			EMPTY
49112			EMPTY
49946			EMPTY
48522			EMPTY
10925			EMPTY
46859			EMPTY
10928			EMPTY
42442			EMPTY
17870			EMPTY
29736			EMPTY
28884			EMPTY
42477			EMPTY
11084			EMPTY
14270			EMPTY
42540			EMPTY
30121			EMPTY
42942			EMPTY
28396			EMPTY
42693			EMPTY
42690			EMPTY
10985			EMPTY
17944			EMPTY
10986			EMPTY
42581			EMPTY
42808			EMPTY
11091			EMPTY
42483			EMPTY
11182			EMPTY
42989			EMPTY
42967			EMPTY
19591			EMPTY
27838			EMPTY
5740			EMPTY
11166			EMPTY
17749			EMPTY
42542			EMPTY
11090			EMPTY
42940			EMPTY
49476			EMPTY
49954			EMPTY
49503			EMPTY
49551			EMPTY
50215			EMPTY
49692			EMPTY
49199			EMPTY
47189			EMPTY
50327			EMPTY
49276			EMPTY
49415			EMPTY
50150			EMPTY
50082			EMPTY
49192			EMPTY
49335			EMPTY
49128			EMPTY
47083			EMPTY
49690			EMPTY
49218			EMPTY
50417			EMPTY
50355			EMPTY
28444			EMPTY
49251			EMPTY
49347			EMPTY
49794			EMPTY
49009			EMPTY
49627			EMPTY
49027			EMPTY
49839			EMPTY
49205			EMPTY
47759			EMPTY
50408			EMPTY
25728			EMPTY
50432			EMPTY
49547			EMPTY
49426			EMPTY
50067			EMPTY
50102			EMPTY
47045			EMPTY
49935			EMPTY
50471			EMPTY
49026			EMPTY
49729			EMPTY
29837			EMPTY
49258			EMPTY
49061			EMPTY
49280			EMPTY
49350			EMPTY
48371			EMPTY
49288			EMPTY
47607			EMPTY
49099			EMPTY
50467			EMPTY
49997			EMPTY
47051			EMPTY
49914			EMPTY
50020			EMPTY
49722			EMPTY
49244			EMPTY
47905			EMPTY
49699			EMPTY
47562			EMPTY
47853			EMPTY
49825			EMPTY
49835			EMPTY
49390			EMPTY
48965			EMPTY
49862			EMPTY
50244			EMPTY
50321			EMPTY
49689			EMPTY
49152			EMPTY
11201			EMPTY
50472			EMPTY
49097			EMPTY
49909			EMPTY
49453			EMPTY
49119			EMPTY
49585			EMPTY
49345			EMPTY
49537			EMPTY
50311			EMPTY
49841			EMPTY
49638			EMPTY
47719			EMPTY
11019			EMPTY
29146			EMPTY
49422			EMPTY
50080			EMPTY
50141			EMPTY
50194			EMPTY
49895			EMPTY
49644			EMPTY
49075			EMPTY
50372			EMPTY
49037			EMPTY
50386			EMPTY
49438			EMPTY
48977			EMPTY
50151			EMPTY
50275			EMPTY
49114			EMPTY
49079			EMPTY
49286			EMPTY
30756			EMPTY
49272			EMPTY
49083			EMPTY
49412			EMPTY
48020			EMPTY
49194			EMPTY
50309			EMPTY
48481			EMPTY
47431			EMPTY
49771			EMPTY
48080			EMPTY
10938			EMPTY
48237			EMPTY
49922			EMPTY
50233			EMPTY
50384			EMPTY
50409			EMPTY
49178			EMPTY
49380			EMPTY
49751			EMPTY
50453			EMPTY
49917			EMPTY
50429			EMPTY
49237			EMPTY
49925			EMPTY
48994			EMPTY
49201			EMPTY
49322			EMPTY
50240			EMPTY
47420			EMPTY
49165			EMPTY
49063			EMPTY
47289			EMPTY
49580			EMPTY
49747			EMPTY
49446			EMPTY
50124			EMPTY
48960			EMPTY
49353			EMPTY
47301			EMPTY
49098			EMPTY
47334			EMPTY
46371			EMPTY
42983			EMPTY
17653			EMPTY
29056			EMPTY
42550			EMPTY
42854			EMPTY
42496			EMPTY
11011			EMPTY
27533			EMPTY
42539			EMPTY
42981			EMPTY
42708			EMPTY
11141			EMPTY
46541			EMPTY
46629			EMPTY
11020			EMPTY
46513			EMPTY
27229			EMPTY
42739			EMPTY
30787			EMPTY
19004			EMPTY
11098			EMPTY
13170			EMPTY
29190			EMPTY
13182			EMPTY
17338			EMPTY
46261			EMPTY
17825			EMPTY
30747			EMPTY
46800			EMPTY
42532			EMPTY
13183			EMPTY
14285			EMPTY
10967			EMPTY
48266			EMPTY
28038			EMPTY
49953			EMPTY
49043			EMPTY
49321			EMPTY
49084			EMPTY
49463			EMPTY
49217			EMPTY
49561			EMPTY
49880			EMPTY
50382			EMPTY
49060			EMPTY
49459			EMPTY
50210			EMPTY
50176			EMPTY
48100			EMPTY
49379			EMPTY
13393			EMPTY
47557			EMPTY
49034			EMPTY
49775			EMPTY
24226			EMPTY
50287			EMPTY
49666			EMPTY
50363			EMPTY
50354			EMPTY
47990			EMPTY
49371			EMPTY
50161			EMPTY
49357			EMPTY
49799			EMPTY
49978			EMPTY
49631			EMPTY
49248			EMPTY
49742			EMPTY
48904			EMPTY
42672			EMPTY
49583			EMPTY
50174			EMPTY
47608			EMPTY
49267			EMPTY
50377			EMPTY
50051			EMPTY
48952			EMPTY
49924			EMPTY
48868			EMPTY
49543			EMPTY
49234			EMPTY
50466			EMPTY
49318			EMPTY
49723			EMPTY
47315			EMPTY
49246			EMPTY
50303			EMPTY
49940			EMPTY
49003			EMPTY
48833			EMPTY
50002			EMPTY
48416			EMPTY
47899			EMPTY
48956			EMPTY
49971			EMPTY
48175			EMPTY
48915			EMPTY
42946			EMPTY
49508			EMPTY
50446			EMPTY
49936			EMPTY
48961			EMPTY
47061			EMPTY
49843			EMPTY
50064			EMPTY
49972			EMPTY
49663			EMPTY
49532			EMPTY
48127			EMPTY
48906			EMPTY
49740			EMPTY
49122			EMPTY
48169			EMPTY
49236			EMPTY
49879			EMPTY
50228			EMPTY
47769			EMPTY
50115			EMPTY
49116			EMPTY
49930			EMPTY
47669			EMPTY
49502			EMPTY
48902			EMPTY
49161			EMPTY
48958			EMPTY
50185			EMPTY
50316			EMPTY
49303			EMPTY
50255			EMPTY
48591			EMPTY
17750			EMPTY
49262			EMPTY
50092			EMPTY
49664			EMPTY
50219			EMPTY
47185			EMPTY
49468			EMPTY
50448			EMPTY
33915			EMPTY
49952			EMPTY
49807			EMPTY
49461			EMPTY
48938			EMPTY
47039			EMPTY
49196			EMPTY
49163			EMPTY
50346			EMPTY
48923			EMPTY
47858			EMPTY
50187			EMPTY
47857			EMPTY
50038			EMPTY
50373			EMPTY
50284			EMPTY
50013			EMPTY
49889			EMPTY
48794			EMPTY
49660			EMPTY
49573			EMPTY
50140			EMPTY
49777			EMPTY
50378			EMPTY
50289			EMPTY
50406			EMPTY
47247			EMPTY
11074			EMPTY
49450			EMPTY
47059			EMPTY
50028			EMPTY
50440			EMPTY
48711			EMPTY
49714			EMPTY
48223			EMPTY
49024			EMPTY
49428			EMPTY
49171			EMPTY
29564			EMPTY
30592			EMPTY
42451			EMPTY
11077			EMPTY
42544			EMPTY
33596			EMPTY
46616			EMPTY
11260			EMPTY
11030			EMPTY
42753			EMPTY
17427			EMPTY
13388			EMPTY
11061			EMPTY
4390			EMPTY
17536			EMPTY
42529			EMPTY
42504			EMPTY
32790			EMPTY
42726			EMPTY
42843			EMPTY
11013			EMPTY
11078			EMPTY
10998			EMPTY
46646			EMPTY
10943			EMPTY
17444			EMPTY
42750			EMPTY
11111			EMPTY
17676			EMPTY
10946			EMPTY
9578			EMPTY
17463			EMPTY
10937			EMPTY
4610			EMPTY
42467			EMPTY
50109			EMPTY
47007			EMPTY
50015			EMPTY
49042			EMPTY
50167			EMPTY
48203			EMPTY
47367			EMPTY
49103			EMPTY
50169			EMPTY
9634			EMPTY
49378			EMPTY
47501			EMPTY
49960			EMPTY
50322			EMPTY
3980			EMPTY
49485			EMPTY
50260			EMPTY
49157			EMPTY
50101			EMPTY
48139			EMPTY
47755			EMPTY
49255			EMPTY
49836			EMPTY
50362			EMPTY
50410			EMPTY
48805			EMPTY
49603			EMPTY
49048			EMPTY
49798			EMPTY
49420			EMPTY
48962			EMPTY
50279			EMPTY
50017			EMPTY
47197			EMPTY
50272			EMPTY
48941			EMPTY
30147			EMPTY
49669			EMPTY
49530			EMPTY
48631			EMPTY
48422			EMPTY
49449			EMPTY
49162			EMPTY
49340			EMPTY
48976			EMPTY
49884			EMPTY
49326			EMPTY
27968			EMPTY
49694			EMPTY
50423			EMPTY
50474			EMPTY
50120			EMPTY
48999			EMPTY
49560			EMPTY
49763			EMPTY
50341			EMPTY
